context,file,selector,fg,bg,px,weight,large,required,ratio,result,how,size_known
hc,components.css,.fts-item.fts-blue,#004b8d,#d9e4ee,13.0,400,False,4.5,6.81,PASS,same-rule,no
contrast-more,components.css,.fts-item.fts-blue,#004b8d,#d9e4ee,13.0,400,False,4.5,6.81,PASS,same-rule,no
light,components.css,.fts-item.fts-purple,#7c3aed,#ebe1fc,13.0,400,False,4.5,4.53,PASS,same-rule,no
dark,components.css,.fts-item.fts-purple,#7c3aed,#1f204c,13.0,400,False,4.5,2.69,FAIL,same-rule,no
hc,components.css,.fts-item.fts-purple,#44007a,#e3d9eb,13.0,400,False,4.5,10.08,PASS,same-rule,no
contrast-more,components.css,.fts-item.fts-purple,#7c3aed,#ebe1fc,13.0,400,False,4.5,4.53,PASS,same-rule,no
light,components.css,.fts-leave-now-tag,#a86600,#f4e4cc,9.5,700,False,4.5,3.68,FAIL,same-rule,yes
hc,components.css,.fts-leave-now-tag,#a86600,#e1d7cc,9.5,700,False,4.5,3.24,FAIL,same-rule,yes
contrast-more,components.css,.fts-leave-now-tag,#a86600,#e1d7cc,9.5,700,False,4.5,3.24,FAIL,same-rule,yes
light,layout.css,.topbar,#ffffff,#002f65,13.0,400,False,4.5,13.17,PASS,same-rule,no
dark,layout.css,.topbar,#ffffff,#51b0e3,13.0,400,False,4.5,2.42,FAIL,same-rule,no
hc,layout.css,.topbar,#ffffff,#000044,13.0,400,False,4.5,19.38,PASS,same-rule,no
contrast-more,layout.css,.topbar,#ffffff,#000044,13.0,400,False,4.5,19.38,PASS,same-rule,no
light,layout.css,.nav-item.active,#002f65,#e5f3fb,13.0,700,False,4.5,11.63,PASS,same-rule,no
dark,layout.css,.nav-item.active,#51b0e3,#19324b,13.0,700,False,4.5,5.42,PASS,same-rule,no
hc,layout.css,.nav-item.active,#000044,#d9d9f0,13.0,700,False,4.5,13.97,PASS,same-rule,no
contrast-more,layout.css,.nav-item.active,#000044,#d9d9f0,13.0,700,False,4.5,13.97,PASS,same-rule,no
light,layout.css,.nav-group,#657380,#ffffff,10.0,400,False,4.5,4.86,PASS,assumed --surface,yes
light,layout.css,.nav-group,#657380,#f4f8fc,10.0,400,False,4.5,4.56,PASS,assumed --background,yes
dark,layout.css,.nav-group,#9fb2c6,#0f1c30,10.0,400,False,4.5,7.86,PASS,assumed --surface,yes
dark,layout.css,.nav-group,#9fb2c6,#081426,10.0,400,False,4.5,8.48,PASS,assumed --background,yes
hc,layout.css,.nav-group,#303030,#ffffff,10.0,400,False,4.5,13.2,PASS,assumed --surface,yes
hc,layout.css,.nav-group,#303030,#ffffff,10.0,400,False,4.5,13.2,PASS,assumed --background,yes
contrast-more,layout.css,.nav-group,#3a3a3a,#ffffff,10.0,400,False,4.5,11.37,PASS,assumed --surface,yes
contrast-more,layout.css,.nav-group,#3a3a3a,#ffffff,10.0,400,False,4.5,11.37,PASS,assumed --background,yes
light,layout.css,.banner.proxy,#1d2733,#c97a00,13.0,400,False,4.5,4.51,PASS,same-rule,no
